user,filename,extension,code
samantha_malte,/Users/AK/Code/ffc/bigpaper/submissions/samantha_malte - 50 submission/inspect_features.py,py,"['itertools', 'compress', 'dill', 'data', 'compress', 'columns', 'load', 'compress', 'columns', 'load', 'compress', 'columns', 'load', 'compress', 'columns', 'load', 'compress', 'columns', 'load', 'load', 'load', 'load', 'load', 'load', 'load', 'load', 'load', 'load', 'load', 'load', 'load', 'load', 'load', 'load', 'load', 'load', 'load']"
samantha_malte,/Users/AK/Code/ffc/bigpaper/submissions/samantha_malte - 50 submission/impute.R,r,"['setwd', 'colnames', 'sapply', 'class', '==', '==', 'colnames', 'paste', 'colnames', 'apply', '>', 'with', 'merge', 'all', '==', 'colnames', 'paste', 'colnames', 'apply', '>', 'with', 'merge', 'all', '<', '==', '==', '==', 'colnames', 'unlist', 'lapply', 'all', 'is.na', 'lapply', 'class', '==', 'mean', '>', 'unique', '>', 'which.max', 'tabulate', 'match', '>', 'is.na', 'is.na', 'rm', 'sapply', 'length', 'table', '==', 'colnames', 'upper.tri', 'diag', 'apply', 'any', 'abs', '>', 'names', '==', 'rm', 'file', 'row.names']"
samantha_malte,/Users/AK/Code/ffc/bigpaper/submissions/samantha_malte - 50 submission/data.py,py,"['sklearn.preprocessing', 'pandas', 'pd', 'numpy', 'np', 'dill', 'read_csv', 'dtypes', '==', 'tolist', '<', 'apply', 'tolist', 'loc', 'apply', 'astype', 'get_dummies', 'loc', 'DataFrame', 'columns', 'drop', 'columns', 'DataFrame', 'columns', 'concat', 'read_csv', 'drop', 'DataFrame', 'columns', 'np', 'isfinite', 'loc', 'isin', 'drop', 'mask', 'DataFrame', 'columns', 'np', 'isfinite', 'loc', 'isin', 'drop', 'loc', 'mask', 'drop', 'loc', 'mask', 'mask', 'load', 'load', 'load', 'load', 'load', 'load', 'mask', 'load', 'load', 'load', 'load', 'load', 'load', 'mask', 'load', 'load', 'load', 'load', 'load', 'load']"
lbb285,/Users/AK/Code/ffc/bigpaper/submissions/lbb285 - 31 submission/model.do,do,"['set', 'more', 'clear', 'capture', 'log', 'close', 'cd', 'do', 'save', 'replace', 'global', 'global', 'global', 'use', 'clear', 'capture', 'drop', '*', 'regress', 'predict', 'regress', 'predict', 'regress', 'predict', 'logit', 'predict', 'logit', 'predict', 'logit', 'predict', 'foreach', 'var', 'in', 'summarize', 'replace', 'r(mean)', 'if', '>=', 'do', 'log', 'exit']"
visseho,/Users/AK/Code/ffc/bigpaper/submissions/visseho - 1 submission/vchallenge.do,do,"['clear', 'clear', 'mata', 'clear', 'matrix', 'cap', 'log', 'close', 'set', 'more', 'set', 'set', 'set', 'cd', 'use', 'replace', 'ta', 'sort', 'save', 'replace', 'clear', 'use', 'replace', 'ta', 'm', 'sort', 'merge', 'tab1', 'recode', 'ta', 'reg', 'predict', 'rename', 'drop', 'rename', 'keep', 'ge', 'ge', 'ge', 'ge', 'ge', 'replace']"
kivan,/Users/AK/Code/ffc/bigpaper/submissions/kivan - 4 submission/code.R,r,"['rm', 'ls', 'setwd', 'file', 'head', 'file', 'head', '==', 'merge', 'by', 'all', 'names', '<', '~', '+', '+', '+', '+', '+', '+', '+', '+', '+', 'summary', '~', '+', '+', '+', '+', '+', '+', '+', '+', '+', 'summary', '~', '+', '+', '+', '+', '+', '+', '+', '+', '+', 'summary', '~', '+', '+', '+', '+', '+', '+', '+', '+', '+', 'summary', '~', '+', '+', '+', '+', '+', '+', '+', '+', '+', 'summary', '~', '+', '+', '+', '+', '+', '+', '+', '+', '+', 'summary', 'subset', 'is.na', 'mean', 'is.na', 'mean', 'is.na', 'mean', 'is.na', 'mean', 'is.na', 'mean', 'is.na', 'mean', 'summary', 'system', 'file', 'row.names', 'file', 'writeLines', 'close', 'system', 'system']"
bleizman,/Users/AK/Code/ffc/bigpaper/submissions/bleizman - 9 submission/RemoveNAs.R,r,"['<<-', '!', 'is.na', 'print', '<<-', 'print', '<<-', 'filter', '%in%', 'print', '<<-', '<<-', 'filter', '%in%', 'print', 'write.table', 'file', 'paste', 'row.names', 'write.table', 'file', 'paste', 'row.names', 'dplyr', '<<-', 'colnames', 'cat', '!=', 'cat']"
bleizman,/Users/AK/Code/ffc/bigpaper/submissions/bleizman - 9 submission/genericClassifier 2.py,py,"['matplotlib.pyplot', 'plt', 'numpy', 'np', 'sys', 'time', 'itertools', 'sklearn.externals', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.model_selection', 'sklearn.model_selection', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn', 'sklearn.linear_model', 'sklearn.neural_network', 'sklearn.linear_model', 'sklearn.linear_model', 'sklearn.preprocessing', '+', 'plot', 'min', 'max', 'min', 'max', '-', '-', 'np', 'log10', 'plot', 'plot', 'mean', '-', '-', 'np', 'log10', '%', '%', '%', '%', '%', '%', '%', '%', '%', '!=', '!=', 'plot', 'plot', 'loc', '%', 'np', 'logspace', 'dump', '+', '+', '+', '+', '%', '%', '%', '%', 'plot', 'plot', 'loc', '%', 'np', 'logspace', '-', '+', '%', 'mean', 'std', '*', 'dump', '+', '+', '+', '+', 'sklearn.neighbors', 'mean', 'mean', '%', 'mean', 'std', '*', 'mean', '>', 'mean', '+', '+', '+', '+', '%', 'mean', 'std', '*', '+', '+', '+', 'positive', 'positive', '-', 'np', 'log10', '-', 'np', 'log10', 'plot', 'plot', '-', '-', 'loc', '-', 'np', 'log10', 'plot', 'plot', '-', '-', 'loc', '-', 'np', 'log10', 'plot', 'plot', '-', '-', 'loc', '-', '%', '+', '+', 'plot', '-', 'np', 'log10', '%', '-', 'np', 'log10', '%', 'np', 'genfromtxt', 'dtype', 'np', 'genfromtxt', 'dtype']"
bleizman,/Users/AK/Code/ffc/bigpaper/submissions/bleizman - 9 submission/MissingDataScript_IL.R,r,"['as.numeric', '-', 'min', 'as.numeric', 'missing', '<', 'colnames', 'missing', 'paste', 'colnames', 'missing', 'missing', 'apply', 'missing', '>', 'lapply', '<', 'unique', '>', 'mode', 'which.max', 'tabulate', 'match', '>', 'is.na', 'mode', 'mode', '<', '|', 'is.na', 'mode', 'as.data.frame']"
bleizman,/Users/AK/Code/ffc/bigpaper/submissions/bleizman - 9 submission/analyze_background.py,py,"['csv', '>', '+', 'sort', 'items', '-', 'sort', '==']"
bleizman,/Users/AK/Code/ffc/bigpaper/submissions/bleizman - 9 submission/generateSubmissionPredictions 2.py,py,"['numpy', 'np', 'csv', 'sklearn.preprocessing', 'sklearn.externals', 'load', '+', 'np', 'genfromtxt', '+', 'dtype', '!=', 'np', 'delete', 'np', 'isnan', 'transform', 'np', 'savetxt', '+']"
bleizman,/Users/AK/Code/ffc/bigpaper/submissions/bleizman - 9 submission/FeatureSelectAndProcess.py,py,"['numpy', 'np', 'csv', 'sklearn.preprocessing', '+', '+', 'append', '+', '+', '==', 'append', '==', 'append', 'append', 'transform', 'sklearn.feature_selection', 'sklearn.feature_selection', 'transform', 'np', 'asarray', '+', '+', '+', '+']"
mackl,/Users/AK/Code/ffc/bigpaper/submissions/mackl - 3 submission/process_reduceformice.py,py,"['numpy', 'np', 'pandas', 'pd', 'sklearn', 'sklearn.ensemble', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.tree', 'read_csv', 'sort_values', 'read_csv', 'notnull', 'loc', 'isin', 'loc', 'isin', 'loc', 'isin', 'fillna', 'np', 'nan']"
mackl,/Users/AK/Code/ffc/bigpaper/submissions/mackl - 3 submission/processtest.py,py,"['numpy', 'np', 'pandas', 'pd', 'sklearn', 'sklearn.ensemble', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.tree', 'sklearn.gaussian_process', 'sklearn.linear_model', 'sklearn.linear_model', 'sklearn.linear_model', 'sklearn.linear_model', 'sklearn.linear_model', 'sklearn.neighbors', 'sklearn.ensemble', 'sklearn.ensemble', 'sklearn.tree', 'sklearn.feature_selection', 'sklearn.svm', 'sklearn.naive_bayes', 'sklearn.preprocessing', 'time', 'statsmodels.stats', 'api', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.svm', 'matplotlib.pyplot', 'plt', 'read_csv', 'sort_values', 'fillna', 'np', 'nan', 'apply', 'to_numeric', 'errors', 'isnull', 'sum', '==', 'append', 'le', 'le', 'apply', 'to_numeric', 'errors', '-', 'shape', 'DataFrame', 'columns', 'columns', 'read_csv', 'notnull', 'loc', 'isin', 'sklearn.model_selection', 'shuffle', 'count', 'split', 'values', 'values', 'shape', '+', '/', '*', '-', '+', '/', '*', 'np', 'mean', '==', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', 'append', 'np', 'mean', '==', 'count', '==', 'plot', '%', '+', '/', '*', '-', '+', '/', '*', 'np', 'mean', '==', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', 'append', 'np', 'mean', '==', 'count', '==', 'plot', '%', '+', '/', '*', '-', '+', '/', '*', 'np', 'mean', '==', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', 'append', 'np', 'mean', '==', 'count', '==', 'plot', '%', '+', '/', '*', '-', '+', '/', '*', 'np', 'mean', '==', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', 'count', '==', 'plot', '%', '+', '/', '*', '-', '+', '/', '*', 'np', 'mean', '==', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', 'append', 'np', 'mean', '==', 'count', '==', 'plot', '%', 'count', 'count', 'count', '+', 'scipy.stats', 'st', '-', 'loc', 'np', 'mean', 'sem', '-', 'loc', 'np', 'mean', 'sem', '-', 'loc', 'np', 'mean', 'sem', '-', 'loc', 'np', 'mean', 'sem']"
mackl,/Users/AK/Code/ffc/bigpaper/submissions/mackl - 3 submission/process_eviction.py,py,"['numpy', 'np', 'pandas', 'pd', 'sklearn', 'sklearn.ensemble', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.tree', 'sklearn.gaussian_process', 'sklearn.linear_model', 'sklearn.linear_model', 'sklearn.linear_model', 'sklearn.linear_model', 'sklearn.linear_model', 'sklearn.neighbors', 'sklearn.ensemble', 'sklearn.ensemble', 'sklearn.tree', 'sklearn.feature_selection', 'sklearn.svm', 'sklearn.naive_bayes', 'sklearn.preprocessing', 'time', 'statsmodels.stats', 'api', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.svm', 'matplotlib.pyplot', 'plt', 'read_csv', 'sort_values', 'fillna', 'np', 'nan', 'apply', 'to_numeric', 'errors', 'isnull', 'sum', '==', 'append', 'le', 'le', 'apply', 'to_numeric', 'errors', '-', 'shape', 'DataFrame', 'columns', 'columns', 'read_csv', 'notnull', 'loc', 'isin', 'sklearn.model_selection', 'shuffle', 'count', 'split', 'values', 'values', 'shape', '+', '/', '*', '-', '+', '/', '*', 'np', 'mean', '==', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', 'append', 'np', 'mean', '==', 'count', '==', 'plot', '%', '+', '/', '*', '-', '+', '/', '*', 'np', 'mean', '==', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', 'append', 'np', 'mean', '==', 'count', '==', 'plot', '%', '+', '/', '*', '-', '+', '/', '*', 'np', 'mean', '==', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', 'append', 'np', 'mean', '==', 'count', '==', 'plot', '%', '+', '/', '*', '-', '+', '/', '*', 'np', 'mean', '==', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', 'count', '==', 'plot', '%', '+', '/', '*', '-', '+', '/', '*', 'np', 'mean', '==', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', 'append', 'np', 'mean', '==', 'count', '==', 'plot', '%', 'count', 'count', 'count', '+', 'scipy.stats', 'st', '-', 'loc', 'np', 'mean', 'sem', '-', 'loc', 'np', 'mean', 'sem', '-', 'loc', 'np', 'mean', 'sem', '-', 'loc', 'np', 'mean', 'sem']"
mackl,/Users/AK/Code/ffc/bigpaper/submissions/mackl - 3 submission/process_jobtraining.py,py,"['numpy', 'np', 'pandas', 'pd', 'sklearn', 'sklearn.ensemble', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.tree', 'sklearn.gaussian_process', 'sklearn.linear_model', 'sklearn.linear_model', 'sklearn.linear_model', 'sklearn.linear_model', 'sklearn.linear_model', 'sklearn.neighbors', 'sklearn.ensemble', 'sklearn.ensemble', 'sklearn.tree', 'sklearn.feature_selection', 'sklearn.svm', 'sklearn.naive_bayes', 'sklearn.preprocessing', 'time', 'statsmodels.stats', 'api', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.svm', 'matplotlib.pyplot', 'plt', 'read_csv', 'sort_values', 'fillna', 'np', 'nan', 'apply', 'to_numeric', 'errors', 'isnull', 'sum', '==', 'append', 'le', 'le', 'apply', 'to_numeric', 'errors', '-', 'shape', 'DataFrame', 'columns', 'columns', 'read_csv', 'notnull', 'loc', 'isin', 'sklearn.model_selection', 'shuffle', 'count', 'split', 'values', 'values', 'shape', '+', '/', '*', '-', '+', '/', '*', 'np', 'mean', '==', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', 'append', 'np', 'mean', '==', 'count', '==', 'plot', '%', '+', '/', '*', '-', '+', '/', '*', 'np', 'mean', '==', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', 'append', 'np', 'mean', '==', 'count', '==', 'plot', '%', '+', '/', '*', '-', '+', '/', '*', 'np', 'mean', '==', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', 'append', 'np', 'mean', '==', 'count', '==', 'plot', '%', '+', '/', '*', '-', '+', '/', '*', 'np', 'mean', '==', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', 'count', '==', 'plot', '%', '+', '/', '*', '-', '+', '/', '*', 'np', 'mean', '==', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', 'append', 'np', 'mean', '==', 'count', '==', 'plot', '%', 'count', 'count', 'count', '+', 'scipy.stats', 'st', '-', 'loc', 'np', 'mean', 'sem', '-', 'loc', 'np', 'mean', 'sem', '-', 'loc', 'np', 'mean', 'sem', '-', 'loc', 'np', 'mean', 'sem']"
mackl,/Users/AK/Code/ffc/bigpaper/submissions/mackl - 3 submission/MissingDataScript.py,py,"['pandas', 'pd', 'numpy', 'np', 'read_csv', 'to_datetime', '-', 'to_datetime', '/', 'np', 'timedelta64', 'astype', 'fillna', 'mode', 'iloc', 'fillna', '_get_numeric_data', '<', 'to_csv']"
mackl,/Users/AK/Code/ffc/bigpaper/submissions/mackl - 3 submission/impute.R,r,"['data', 'as.numeric', 'data', '-', 'min', 'as.numeric', 'data', 'data', 'missing', 'data', '<', 'colnames', 'missing', 'paste', 'colnames', 'data', 'missing', 'missing', 'apply', 'missing', '>', 'lapply', 'data', '<', 'as.data.frame', 'setwd', 'raw', 'read.csv', 'file', 'raw', 'which', 'sapply', 'raw', 'typeof', '==', 'raw', 'sum', 'is.na', '/', 'length', '*', 'apply', 'sapply', 'sum', 'is.na', 'which', '<', 'write.csv', 'file', 'mice', 'mice', 'data', 'mice', 'data', 'read.csv', 'file', 'Sys.time', 'mice', 'data', 'Sys.time', '-', 'complete', 'write.csv', 'file']"
mackl,/Users/AK/Code/ffc/bigpaper/submissions/mackl - 3 submission/process_eviction_mice.py,py,"['numpy', 'np', 'pandas', 'pd', 'sklearn', 'sklearn.ensemble', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.tree', 'sklearn.gaussian_process', 'sklearn.gaussian_process', 'sklearn.linear_model', 'sklearn.linear_model', 'sklearn.linear_model', 'sklearn.linear_model', 'sklearn.linear_model', 'sklearn.neighbors', 'sklearn.ensemble', 'sklearn.ensemble', 'sklearn.tree', 'sklearn.feature_selection', 'sklearn.svm', 'sklearn.naive_bayes', 'sklearn.preprocessing', 'time', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.metrics', 'sklearn.svm', 'matplotlib.pyplot', 'plt', 'numpy', 'genfromtxt', 'read_csv', 'shape', 'read_csv', 'notnull', 'sklearn.model_selection', 'shuffle', 'count', '<', 'split', '+', '-', '+', '/', '*', 'np', 'mean', '==', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '-', '+', '/', '*', 'np', 'mean', '==', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '-', '+', '/', '*', 'np', 'mean', '==', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '-', '+', '/', '*', 'np', 'mean', '==', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '-', '+', '/', '*', 'np', 'mean', '==', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', '-', '+', '/', '*', 'np', 'mean', '==', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', '+', '/', '*', 'average', 'count', 'count', 'count', '+']"
mackl,/Users/AK/Code/ffc/bigpaper/submissions/mackl - 3 submission/process.py,py,"['numpy', 'np', 'pandas', 'pd', 'sklearn', 'sklearn.ensemble', 'read_csv', 'sort_values', 'read_csv', 'notnull', 'loc', 'isin', 'fillna', 'np', 'nan', 'shape']"
