Status,Q8,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q15_13,Q15_14,Q15_15,Q15_16,Q15_17,Q15_18,Q15_19,Q15_20,Q15_21,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q19,Q20,Q21,Q22,Q23,Finished,Q11
IP Address,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
Survey Preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
Survey Preview,No,Applies to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,,Individually,No,No,No,TRUE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla vestibulum varius risus at facilisis. Cras a lorem eu lacus maximus condimentum vitae vitae elit. Duis eu imperdiet nisl. Nulla ligula augue, vestibulum vel feugiat non, ultricies at ligula. Pellentesque sed massa vel mauris vestibulum bibendum sit amet sed diam. Nulla ut enim massa. Duis metus urna, sodales non blandit ac, porta ut dolor. Vestibulum dignissim pellentesque ex eget efficitur. Etiam venenatis a mauris eget molestie. Cras tincidunt fermentum ante, ac porta nunc faucibus porttitor. Suspendisse tortor ligula, tristique in interdum sit amet, pharetra vitae libero. Duis vulputate lacus erat, vel dapibus nisl imperdiet et."
Survey Preview,Yes,Applies to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,I also do THIS and THAT!,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Applies to me,I was also in the circus!,Individually,No,Yes,No,TRUE,I am typing here I am typing here I am typing here I am typing here I am typing here I am typing here I am typing here I am typing here I am typing here I am typing here I am typing here I am typing here I am typing here I am typing here I am typing here I am typing here I am typing here I am typing here 
IP Address,Yes,Applies to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,,As part of a group,No,No,No,TRUE,"I find the challenge really exciting. Since my very first contact with machine learning, I've always thought that social sciences could, for sure, much benefit from the adoption of data analysis techniques that have proven successful in other fields. Moreover, participating in the challenge would allow me to learn more about the Fragile Families project which I think it's really interesting."
IP Address,Yes,Applies to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,,As part of a group,No,Yes,No,TRUE,Interest in the fragile families dataset & contributing to new findings in medically-relevant research. 
IP Address,Yes,Applies to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,,Individually,No,No,No,TRUE,I'm intrigued.
IP Address,Yes,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Social Work ,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,,As part of a group,No,Yes,No,TRUE,I have a strong passion for changing a child's life as early as possible. My academic training allows me to understand how enormous influence the family has exerted on a person's development and how childhood trauma could be the root of health and mental health problems. I'm equipped with advanced statistical methods training and I hope my skills could be used in a meaningful way to contribute to humanity and the well-being of the whole society. 
IP Address,Yes,Applies to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,,Individually,No,No,No,TRUE,It is related to my research on panel data. And it sounds really fun!
IP Address,Yes,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,,As part of a group,No,Yes,No,TRUE,The data are unique and interesting and I believe can be motivating for novel methods development for feature selection (which subset of the survey questions will be informative for prediction of the 6 outcomes) missing data management and prediction. 
IP Address,Yes,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,,Individually,No,No,No,TRUE,"I am enthusiastic about computational social science and would like to get more acquainted with the field. Learning by doing is the best way to learn and the whole setup looks fun -which matters a lot.Furthermore, I  was not familiar with the fragile families study. The topic is in itself interesting and worthwhile as well and this certainly helps being motivated. "
IP Address,Yes,Applies to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,,Individually,No,No,No,TRUE,"I am interested in broadening my focus on group inequality to include more work on the intergenerational transmission of poverty. I know that Fragile Families is an important dataset in this line of research, and this is a good chance for me to start working with it. I also think I can make a strong contribution to this project, given my experience with machine learning techniques and causal inference."
IP Address,Yes,Applies to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,"Academically, I am a Public Policy Scholar. As an interdisciplinary scholar, I also view myself as an economist (I have a Masters Degree in Economics) and an aspiring social psychologist (I have a doctoral minor in Psychology) ",Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,,As part of a group,No,Yes,No,TRUE,"I have worked with the Fragile Families data before in my research projectsâ€”thus, I am aware of the wealth of information the data includes. I have recently been exposed to ideas from predictive modeling and machine learning methods through independent research. My interest in computational social scientific methods was piqued by my observation that these methods will become increasingly valuable in the era of â€œbig data.â€ù The Fragile Families Challenge seems like a great opportunity to combine my expertise in econometric modeling with my newly-learned interest in predictive modeling techniques from data science to answer policy-relevant applied social science questions that I care about. I am also a strong believer in open source software, data, journals, and believe that dynamic collaboration, as encouraged by this challenge, is the way forward to advance scientific knowledge. As an early career scholar interested in social and education policy, I also welcome the opportunity to contribute and be potentially involved in publishing the results in scientific journals. Finally, the goals of the FF challenge fully align with my skills and desire to be engaged in research that explores the barriers encountered by disadvantaged families in their pursuits of a quality life."
IP Address,Yes,Applies to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,,As part of a group,No,No,No,TRUE,We hope to hone our data science skills and domain knowledge while we undertake the project with the hope of helping the wider collaborative effort to improve outcomes for families and children.
IP Address,Yes,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,,Individually,No,No,No,TRUE,"A few reasons:1) I do a lot of statistical programming in my research, but relatively little predictive modeling. This is an opportunity for me to develop new skills.2) This is an exciting dataset.3) The challenge looks like fun! "
IP Address,Yes,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,,Individually,No,No,No,TRUE,This is a test. This is a test. This is a test. This is a test. This is a test. This is a test. This is a test. This is a test. This is a test. This is a test. This is a test. This is a test. This is a test. This is a test. This is a test. This is a test. This is a test. This is a test. 
IP Address,Yes,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Applies to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Educational researcher,Does not apply to me,Applies to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,,Individually,No,No,No,TRUE,"I have a strong research interest in inequity in education and wellbeing trajectories, in which socioeconomic gradients are typically ((but not always) evident. If more is known about the pathways that contribute to these outcomes then policy and intervention levers to disrupt these pathways can be better targeted in terms of audience, approach, and timing."
IP Address,Yes,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,,As part of a group,No,No,No,TRUE,"I'm most excited about two aspects of this project. First, I'm always eager to improve my modeling skills, and this seems like an excellent opportunity to do so. Second, I'm very keen on trying to identify hitherto under-appreciated factors in children's attainment. Through its set-up, the project bridges an important gap between research and practice; it looks very promising. "
IP Address,Yes,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,,Individually,No,Yes,No,TRUE,"As a full professor, I have the time and energy to take on something like this. As a scientist, I celebrate the opportunity to participate in a scientific community.As an advocate for family resilience, I am eager to know what is best for children and sing those truths."
IP Address,Yes,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,,Individually,No,No,No,TRUE,My friend told me about this challenge.
IP Address,Yes,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,,Applies to me,Applies to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,,Individually,No,No,No,TRUE,"My previous experience examining the Fragile Families study and adapting many of the concepts to our work during the Kids in Columbus Study. I believe that this topic is absolutely critical when analyzing child development and that it provides an invaluable piece to the School Psychology puzzle. Thank you very much for your time and consideration!Sincerely,Erin McClureDoctoral CandidateThe Ohio State University"
IP Address,Yes,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,,As part of a group,No,No,No,TRUE,Learning more about the Fragile Families project and cooperating with social scientists to build a bridge between fields that (in the end) have a lot in common
IP Address,Yes,Applies to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Statistician,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,,As part of a group,No,Yes,Yes,TRUE,"We are both supporters of finding better solutions to complex research problems through interdisciplinary collaborations and sharing of information about best practices.  Given that it may be difficult to identify all of the people to bring to the table in these discussions, let alone fully incentivize them â€œcrowd sourcingâ€ù solutions through these types of competitions seems to be a great solution.  In fact Hill was the organizer of the first-ever causal inference data analysis challenge that was run in conjunction with the 2016 Atlantic Causal Inference Conference and Carnegie was the winner, hence our decision to team up on this project. We want to be a part of the process of figuring out best practices in applying research methods to applied problems."
IP Address,Yes,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,,As part of a group,No,Yes,Yes,TRUE,"We are both supporters of finding better solutions to complex research problems through interdisciplinary collaborations and sharing of information about best practices.  Given that it may be difficult to identify all of the people to bring to the table in these discussions, let alone fully incentivize them â€œcrowd sourcingâ€ù solutions through these types of competitions seems to be a great solution.  In fact Hill was the organizer of the first-ever causal inference data analysis challenge that was run in conjunction with the 2016 Atlantic Causal Inference Conference and Carnegie was the winner, hence our decision to team up on this project. We want to be a part of the process of figuring out best practices in applying research methods to applied problems."
IP Address,Yes,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,,As part of a group,No,No,No,TRUE,See above. I want to improve fairness and opportunity especially for lower-income and minority families because it's just the right thing to do. (AND I think our nation is missing out on a ton of economic potential if it doesn't fully develop the untapped human capital in these families.)
IP Address,Yes,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,,Does not apply to me,Applies to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,Does not apply to me,,As part of a group,No,Yes,Yes,TRUE,"I think that this is a wonderful opportunity to contribute my research examining self-regulation among at-risk children to a larger project that has the potential to inform policy and intervention work. In collaboration with Dr. Mulvaney, I would like to test models that we can use for our course to demonstrate the statistical skills for students, but also ask questions that further our own research agenda."
