last,name,affiliation,tex,account,data_preparation,feature_selection,learning_algorithm,model_selection,other
Halpern-Manners,Andrew Halpern-Manners,"Department of Sociology, Indiana University, Bloomington, IN 47405, USA","\item Andrew Halpern-Manners, Department of Sociology, Indiana University, Bloomington, IN 47405, USA",IU_Sociology,"Mean/median/mode imputation, Variable standardization/rescaling, Adding missingness indicators, Inferring feature types (e.g. categorical or continuous), Constructing your own train/test split, Dropping variables with more than 70% missing values","Using prior expertise, Reading study documentation, Conducting a literature review, Using constructed variables, Model-based feature selection (e.g. F-test or LASSO)","Random forest, LASSO, Data-based hyperparameter selection (e.g. cross validation)","MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients, Interpreting hyperparameters",
Hashim,Sonia P. Hashim,"Department of Computer Science, University of California Santa Barbara,  Santa Barbara, CA, 93106, USA","\item Sonia P. Hashim, Department of Computer Science, University of California Santa Barbara,  Santa Barbara, CA, 93106, USA",shashim,"Mean/median/mode imputation, Model-based imputation, Imputation based on survey structure (e.g. skips), Adding missingness indicators, Dropping low-variance features","Reading study documentation, Using constructed variables, Model-based feature selection (e.g. F-test or LASSO)","Linear regression/OLS, Decision tree, Random forest, Ridge regression, LASSO, Data-based hyperparameter selection (e.g. cross validation)","MSE performance in training set, MSE performance on leaderboard",
Hausen,Sonia A. Hausen,"Department of Sociology, Stanford University, Stanford CA 94305","\item Sonia A. Hausen, Department of Sociology, Stanford University, Stanford CA 94305",shausen,"Mean/median/mode imputation, Model-based imputation, Adding missingness indicators, Inferring feature types (e.g. categorical or continuous)","Using prior expertise, Reading study documentation, Using constructed variables","Linear regression/OLS, Logistic regression/logit",MSE performance on leaderboard,
He,Guanhua He,"Department of Molecular Biology, Princeton University, Princeton, NJ, 08544, USA","\item Guanhua He, Department of Molecular Biology, Princeton University, Princeton, NJ, 08544, USA",rbamos,"Mean/median/mode imputation, Creating synthetic features with PCA, Dropping low-variance features, Constructing your own train/test split","Conducting a literature review, Model-based feature selection (e.g. F-test or LASSO)","Linear regression/OLS, Logistic regression/logit, Ridge regression, LASSO, Elastic net, Data-based hyperparameter selection (e.g. cross validation), Kernel methods (e.g. kernel ridge regression or support vector machines)","MSE performance in training set, MSE performance on leaderboard, Assessing groups/clusters of features, Interpreting hyperparameters",
Higuera,Kimberly Higuera,"Department of Sociology, Stanford University, Stanford, CA 94305 USA","\item Kimberly Higuera, Department of Sociology, Stanford University, Stanford, CA 94305 USA",khiguera,"Mean/median/mode imputation, Inferring feature types (e.g. categorical or continuous)","Using prior expertise, Reading study documentation, Using constructed variables","Linear regression/OLS, Logistic regression/logit","Inspecting regression coefficients, Interpreting hyperparameters",
Hogan,Bernie Hogan,"Oxford Internet Institute, University of Oxford, Oxford, UK, OX13JS","\item Bernie Hogan, Oxford Internet Institute, University of Oxford, Oxford, UK, OX13JS",bz24,"Creating synthetic features with PCA, Please see response by bz247[ Bingyu Zhao <bz247@cam.ac.uk> ]","Using prior expertise, Reading study documentation, Using constructed variables, Please see response by bz247[ Bingyu Zhao <bz247@cam.ac.uk> ]","Logistic regression/logit, Random forest, Please see response by bz247 [ Bingyu Zhao <bz247@cam.ac.uk> ]",Please see response by bz247[ Bingyu Zhao <bz247@cam.ac.uk> ],
Horwitz,Ilana M. Horwitz,Stanford University,"\item Ilana M. Horwitz, Stanford University",ihorwitz,Variable standardization/rescaling,"Using prior expertise, Using constructed variables","Linear regression/OLS, Logistic regression/logit","MSE performance on leaderboard, Inspecting regression coefficients",
Hummel,Lisa M. Hummel,"Department of Sociology, Stanford University, Stanford, CA 94305, USA","\item Lisa M. Hummel, Department of Sociology, Stanford University, Stanford, CA 94305, USA",Bumblebee2023,Variable standardization/rescaling,"Using prior expertise, Reading study documentation, Using constructed variables","Linear regression/OLS, Logistic regression/logit",Inspecting regression coefficients,
Jain,Naman Jain,"Department of Operations Research and Financial Engineering, Princeton University, Princeton, NJ 08544, USA","\item Naman Jain, Department of Operations Research and Financial Engineering, Princeton University, Princeton, NJ 08544, USA",amusse,Mean/median/mode imputation,Model-based feature selection (e.g. F-test or LASSO),"Linear regression/OLS, Logistic regression/logit, Decision tree, Random forest, Gradient-boosted trees, Bayesian additive regression trees (BART), Ridge regression, LASSO, Elastic net","MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients",
Jin,Kun Jin,"Department of Computer Science, Ohio State University, Columbus, OH 43210, USA","\item Kun Jin, Department of Computer Science, Ohio State University, Columbus, OH 43210, USA",aprilfeifei,"Mean/median/mode imputation, Variable standardization/rescaling, Inferring feature types (e.g. categorical or continuous), Dropping low-variance features, Constructing your own train/test split","Using prior expertise, Model-based feature selection (e.g. F-test or LASSO)","Linear regression/OLS, LASSO, Elastic net, Data-based hyperparameter selection (e.g. cross validation)","MSE performance in training set, Inspecting regression coefficients, Interpreting hyperparameters",
Jurgens,David Jurgens,"School of Information, University of Michigan, Ann Arbor MI, 48104, USA","\item David Jurgens, School of Information, University of Michigan, Ann Arbor MI, 48104, USA",davidj,"One-hot encoding, Constructing your own train/test split","Using prior expertise, Model-based feature selection (e.g. F-test or LASSO)","Random forest, Data-based hyperparameter selection (e.g. cross validation), Manual hyperparameter setting","MSE performance in training set, MSE performance on leaderboard","There were many failed attempts at designing models (bad performance on the training data) before submitting the final model.  I have checked options above that were done during the whole design process, which are not necessarily reflected in the final submitted code."
Kaban,Enes Kaban,"MA Candidate, Department of Psychology, Koc University, Istanbul, 34450, Turkey","\item Enes Kaban, MA Candidate, Department of Psychology, Koc University, Istanbul, 34450, Turkey",ekaban15,"Variable standardization/rescaling, Inferring feature types (e.g. categorical or continuous), Multiple Imputation","Reading study documentation, Model-based feature selection (e.g. F-test or LASSO)","Linear regression/OLS, Logistic regression/logit",Measures of variable importance (e.g. marginal effects),
Kaminski,Patrick C. Kaminski,"Department of Sociology & Center for Complex Networks and Systems Research, Indiana University Bloomington, Bloomington, IN 47405, USA","\item Patrick C. Kaminski, Department of Sociology & Center for Complex Networks and Systems Research, Indiana University Bloomington, Bloomington, IN 47405, USA",IU_Sociology,"Mean/median/mode imputation, Variable standardization/rescaling, One-hot encoding, Adding missingness indicators, Inferring feature types (e.g. categorical or continuous), Constructing your own train/test split, Excluded 'constructed scales' with more than 30% missing values","Using prior expertise, Reading study documentation, Conducting a literature review, Using constructed variables, Model-based feature selection (e.g. F-test or LASSO)","Random forest, Data-based hyperparameter selection (e.g. cross validation)","MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients, Interpreting hyperparameters",
Kanter,"Jeremy B. Kanter, Ph.D.","Department of Family and Consumer Sciences, Illinois State University, Normal, IL, 61761","\item Jeremy B. Kanter, Ph.D., Department of Family and Consumer Sciences, Illinois State University, Normal, IL, 61761",jeremykanter,"Variable standardization/rescaling, Adding missingness indicators, Inferring feature types (e.g. categorical or continuous)","Using prior expertise, Reading study documentation, Conducting a literature review, Using constructed variables","Linear regression/OLS, Logistic regression/logit","MSE performance in training set, Inspecting regression coefficients, Assessing groups/clusters of features",
Karapetyan,Areg Karapetyan,"1. Department of Computer Science, Masdar Institute, Khalifa University, Abu Dhabi, UAE  2. Research Institute for Mathematical Sciences (RIMS) Kyoto University, Kyoto 606- 8502, Japan","\item Areg Karapetyan, 1. Department of Computer Science, Masdar Institute, Khalifa University, Abu Dhabi, UAE  2. Research Institute for Mathematical Sciences (RIMS) Kyoto University, Kyoto 606- 8502, Japan",Anahit_Sargsyan,"Model-based imputation, Adding missingness indicators, Dropping low-variance features, kNN (k-Nearest Neighbors) imputation algorithm","Model-based feature selection (e.g. F-test or LASSO), Extra Trees Regressor algorithm, Randomized Lasso","Linear regression/OLS, Logistic regression/logit, Decision tree, Random forest","MSE performance in training set, MSE performance on leaderboard, Assessing groups/clusters of features",
Kim,E. H. Kim,"Department of Sociology, Stanford University, Stanford, CA 94305, USA","\item E. H. Kim, Department of Sociology, Stanford University, Stanford, CA 94305, USA",ehk02004,"Variable standardization/rescaling, Creating synthetic features with PCA","Using prior expertise, Reading study documentation, Using constructed variables","Linear regression/OLS, Logistic regression/logit",Inspecting regression coefficients,
Leizman,Ben Leizman,"Department of Computer Science, Princeton University, Princeton, NJ 08544, USA","\item Ben Leizman, Department of Computer Science, Princeton University, Princeton, NJ 08544, USA",bleizman,"Mean/median/mode imputation, Constructing your own train/test split","Conducting a literature review, Mutual information","Ridge regression, LASSO, Elastic net, Neural networks, K-Nearest Neighbors","MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients",
Liu,David Liu,"Department of Computer Science, Princeton University, Princeton, NJ 08544, USA.","\item David Liu, Department of Computer Science, Princeton University, Princeton, NJ 08544, USA.",dliu18,Adding missingness indicators,"None of the above. In my final submission, I predicted the mean so I did not utilize the features.","I used neural networks and manual hyperparameter setting in my experiments, but for the final submission, I did not use any of the above.","MSE performance in training set, MSE performance on leaderboard",
Liu,Naijia Liu,"Department of Politics, Princeton University, Princeton NJ 08544, USA","\item Naijia Liu, Department of Politics, Princeton University, Princeton NJ 08544, USA",NaijiaLiu,"Imputation based on survey structure (e.g. skips), Constructing your own train/test split","Using prior expertise, Reading study documentation","Linear regression/OLS, Ridge regression, Neural networks","MSE performance in training set, MSE performance on leaderboard",
Mack,Andrew E. Mack,"Department of Politics, Princeton University, Princeton, NJ 08544, USA.","\item Andrew E. Mack, Department of Politics, Princeton University, Princeton, NJ 08544, USA.",aemack,"Mean/median/mode imputation, Inferring feature types (e.g. categorical or continuous), Constructing your own train/test split",Model-based feature selection (e.g. F-test or LASSO),"Random forest, Gradient-boosted trees, LASSO, Data-based hyperparameter selection (e.g. cross validation)",MSE performance in training set,
Magann,Alicia Magann,"Department of Chemical and Biological Engineering, Princeton University, Princeton, NJ 08544, USA","\item Alicia Magann, Department of Chemical and Biological Engineering, Princeton University, Princeton, NJ 08544, USA",amagann,"Mean/median/mode imputation, Variable standardization/rescaling, Dropping low-variance features","Model-based feature selection (e.g. F-test or LASSO), in certain studies, feature selection was performed by modeling only the city-related features, to test if these features alone could be predictive of GPA.","Linear regression/OLS, Decision tree, Ridge regression, LASSO, Elastic net, Data-based hyperparameter selection (e.g. cross validation), Kernel methods (e.g. kernel ridge regression or support vector machines), bagging regression, support vector regression, gaussian processes.",MSE performance in training set,
Mahajan,Mayank Mahajan,"Department of Computer Science, Princeton University, Princeton, NJ 08544, USA","\item Mayank Mahajan, Department of Computer Science, Princeton University, Princeton, NJ 08544, USA",mahajanm,"Mean/median/mode imputation, Model-based imputation, Variable standardization/rescaling, Dropping low-variance features, Constructing your own train/test split","Using prior expertise, Conducting a literature review, Model-based feature selection (e.g. F-test or LASSO)","Linear regression/OLS, Logistic regression/logit, Gradient-boosted trees, Ridge regression, LASSO, Elastic net, Data-based hyperparameter selection (e.g. cross validation)","MSE performance in training set, MSE performance on leaderboard, Measures of variable importance (e.g. marginal effects)",
Mandell,Noah Mandell,"Department of Astrophysical Sciences, Princeton University, Princeton, NJ 08544, USA","\item Noah Mandell, Department of Astrophysical Sciences, Princeton University, Princeton, NJ 08544, USA",nmandell,"Mean/median/mode imputation, One-hot encoding, Adding missingness indicators, Inferring feature types (e.g. categorical or continuous), Dropping low-variance features, dropping columns containing strings",No feature selection,"Linear regression/OLS, Random forest, Ridge regression, Data-based hyperparameter selection (e.g. cross validation), Huber regression","MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients",
Marahrens,Helge-Johannes Marahrens,"Department of Sociology, Indiana University, Bloomington, IN 47405, USA","\item Helge-Johannes Marahrens, Department of Sociology, Indiana University, Bloomington, IN 47405, USA",IU_Sociology,"Mean/median/mode imputation, Variable standardization/rescaling, One-hot encoding, Adding missingness indicators, Inferring feature types (e.g. categorical or continuous), Constructing your own train/test split","Using prior expertise, Reading study documentation, Conducting a literature review, Using constructed variables, Model-based feature selection (e.g. F-test or LASSO), Excluded 'constructed scales' with more than 30% missing values","Random forest, Data-based hyperparameter selection (e.g. cross validation)","MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients, Interpreting hyperparameters",
Melin,Julia L. Melin,"Department of Sociology, Stanford University, Stanford, CA 94305, USA","\item Julia L. Melin, Department of Sociology, Stanford University, Stanford, CA 94305, USA",jmels13,Mean/median/mode imputation,"Using prior expertise, Reading study documentation",Linear regression/OLS,Inspecting regression coefficients,
Mercado-Garcia,Diana Mercado-Garcia,"Graduate School of Education, Stanford University, CA ","\item Diana Mercado-Garcia, Graduate School of Education, Stanford University, CA ",ddmmgg,"Mean/median/mode imputation, Model-based imputation","Using prior expertise, Reading study documentation, Using constructed variables, Model-based feature selection (e.g. F-test or LASSO)","Linear regression/OLS, Logistic regression/logit","Inspecting regression coefficients, Assessing groups/clusters of features",
Mocz,Viola Mocz,"Department of Neuroscience, Princeton University, Princeton, NJ 08544, USA","\item Viola Mocz, Department of Neuroscience, Princeton University, Princeton, NJ 08544, USA",shashim,"Mean/median/mode imputation, Model-based imputation, Imputation based on survey structure (e.g. skips), Adding missingness indicators, Dropping low-variance features","Reading study documentation, Using constructed variables, Model-based feature selection (e.g. F-test or LASSO)","Linear regression/OLS, Decision tree, Random forest, Ridge regression, LASSO, Data-based hyperparameter selection (e.g. cross validation)","MSE performance in training set, MSE performance on leaderboard",
M_ser,Malte M_ser,"Department of Computer Science, Princeton University, Princeton, NJ 08544, USA","\item Malte M_ser, Department of Computer Science, Princeton University, Princeton, NJ 08544, USA",malte,"Mean/median/mode imputation, Variable standardization/rescaling, One-hot encoding, Adding missingness indicators, Inferring feature types (e.g. categorical or continuous), Dropping low-variance features",Model-based feature selection (e.g. F-test or LASSO),"Elastic net, Data-based hyperparameter selection (e.g. cross validation)","MSE performance in training set, MSE performance on leaderboard",
Motazedi,Ehsan Motazedi,"Plant sciences group, Wageningen university & research, The Netherlands","\item Ehsan Motazedi, Plant sciences group, Wageningen university & research, The Netherlands",redpotato,Imputation based on survey structure (e.g. skips),Model-based feature selection (e.g. F-test or LASSO),"Linear regression/OLS, Logistic regression/logit, Elastic net","MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients",We used forward and backward selection method to choose the best features for prediction using AIC.
Mueller-Gastell,Katariina Mueller-Gastell,"Department of Sociology, Stanford University, Stanford, CA 94305, USA","\item Katariina Mueller-Gastell, Department of Sociology, Stanford University, Stanford, CA 94305, USA",katamg,"Variable standardization/rescaling, One-hot encoding, Functional form transformation (e.g. logging or top-coding), Adding missingness indicators, Inferring feature types (e.g. categorical or continuous), Dropping low-variance features, Constructing your own train/test split","Reading study documentation, Conducting a literature review, Using constructed variables, Leveraging time structure and repeated measures (e.g. lagged DVs), Model-based feature selection (e.g. F-test or LASSO)","Linear regression/OLS, Logistic regression/logit","MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients",
Musse,Ahmed Musse,"Department of Electrical Engineering, Princeton University, Princeton, NJ, 08544, USA","\item Ahmed Musse, Department of Electrical Engineering, Princeton University, Princeton, NJ, 08544, USA",amusse,Mean/median/mode imputation,Select K Best using chi square statistics of each feature,"Logistic regression/logit, Decision tree, Random forest, Gradient-boosted trees, Ridge regression, LASSO, Data-based hyperparameter selection (e.g. cross validation), Kernel methods (e.g. kernel ridge regression or support vector machines), Bagging, K-Nearest Neighbors, Gaussian Process Regression","Assessing groups/clusters of features, Interpreting hyperparameters",
Niu,Qiankun Niu,Princeton University,"\item Qiankun Niu, Princeton University",hty,"Mean/median/mode imputation, Imputation based on survey structure (e.g. skips), Dropping low-variance features","Conducting a literature review, Model-based feature selection (e.g. F-test or LASSO)","Linear regression/OLS, Logistic regression/logit, Random forest, Ridge regression, LASSO, Elastic net, Data-based hyperparameter selection (e.g. cross validation)","MSE performance in training set, Interpreting hyperparameters, Measures of variable importance (e.g. marginal effects)",
Nowak,William P. Nowak,Unbox Research,"\item William P. Nowak, Unbox Research",wnowak,"Model-based imputation, Using multiple analytic datasets to generate predictions",Model-based feature selection (e.g. F-test or LASSO),Gradient-boosted trees,Measures of variable importance (e.g. marginal effects),
Omidvar,Hamidreza Omidvar,"Department of Civil and Environmental Engineering, Princeton University, Princeton, Nj, 08544, USA","\item Hamidreza Omidvar, Department of Civil and Environmental Engineering, Princeton University, Princeton, Nj, 08544, USA",hamidrezaomidvar,"Mean/median/mode imputation, Model-based imputation","Model-based feature selection (e.g. F-test or LASSO), Correlation based selection","Linear regression/OLS, Logistic regression/logit, Ridge regression, LASSO",MSE performance in training set,
Or,Andrew Or,"Department of Computer Science, Princeton University, Princeton, NJ, 08544, USA","\item Andrew Or, Department of Computer Science, Princeton University, Princeton, NJ, 08544, USA",t.f.schaffner,"Mean/median/mode imputation, Dropping low-variance features","Mutual information, Model-based feature selection (e.g. F-test or LASSO)","Linear regression/OLS, Random forest, Gradient-boosted trees, LASSO, Kernel methods (e.g. kernel ridge regression or support vector machines), Naive bayes, k-nearest neighbors","MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients",No
Ouyang,Karen Ouyang,Princeton '17,"\item Karen Ouyang, Princeton '17",kouyang,"Mean/median/mode imputation, One-hot encoding, Inferring feature types (e.g. categorical or continuous), Using multiple analytic datasets to generate predictions, Constructing your own train/test split","Using prior expertise, Reading study documentation, Mutual information, Model-based feature selection (e.g. F-test or LASSO)","Linear regression/OLS, Ridge regression, LASSO, Elastic net, Data-based hyperparameter selection (e.g. cross validation), Kernel methods (e.g. kernel ridge regression or support vector machines)","MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients, Assessing groups/clusters of features",
Ézer,Demet Ézer,"Department of Psychology, Koç University, Istanbul, Turkey","\item Demet Ézer, Department of Psychology, Koç University, Istanbul, Turkey",gturunc16,"Model-based imputation, Variable standardization/rescaling, Inferring feature types (e.g. categorical or continuous), Dropping low-variance features","Using prior expertise, Reading study documentation, Conducting a literature review, Using constructed variables","Linear regression/OLS, Logistic regression/logit",Inspecting regression coefficients,
Pinto,Katy M. Pinto,"Department of Sociology, CSU, Dominguez Hills, CA 90747","\item Katy M. Pinto, Department of Sociology, CSU, Dominguez Hills, CA 90747",Katy_P,"Mean/median/mode imputation, Model-based imputation, Imputation based on survey structure (e.g. skips), Adding missingness indicators","Using prior expertise, Reading study documentation, Conducting a literature review, Using constructed variables","Linear regression/OLS, Logistic regression/logit","MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients",
Porter,Ethan Porter,"School of Media and Public Affairs, George Washington University, Washington D.C., 20052","\item Ethan Porter, School of Media and Public Affairs, George Washington University, Washington D.C., 20052",lennyc,Inferring feature types (e.g. categorical or continuous),"Using prior expertise, Reading study documentation",Linear regression/OLS,Inspecting regression coefficients,
